Ticker,Quarter,Depreciation,EPS in Rs,Expenses +,Interest,Net Profit +,Other Income +,Profit before tax,Tax %,Average Stock Price
LTTS.NS,2023-09-01,68.0,29.84,1911.0,13.0,316.0,41.0,436.0,28.0,4416.752217610677
LTTS.NS,2023-12-01,72.0,31.79,1934.0,13.0,337.0,62.0,466.0,28.0,5189.745290448589
LTTS.NS,2024-03-01,75.0,32.24,2035.0,13.0,341.0,56.0,471.0,28.0,4959.912341101695
LTTS.NS,2024-06-01,73.0,29.63,2006.0,13.0,314.0,62.0,433.0,27.0,4973.097892515121
LTTS.NS,2024-09-01,78.0,30.2,2107.0,12.0,320.0,65.0,441.0,27.0,5272.262238533266
LTTS.NS,2024-12-01,73.0,30.45,2158.0,16.0,320.0,34.0,440.0,27.0,5068.753196716309
LTTS.NS,2025-03-01,82.0,29.38,2507.0,16.0,310.0,49.0,427.0,27.0,4375.0425094345865
LTTS.NS,2025-06-01,81.0,29.79,2404.0,16.0,316.0,68.0,432.0,27.0,4319.546356201172
LUPIN.NS,2022-06-01,193.0,-1.96,3512.0,43.0,-87.0,6.0,2.0,3925.0,629.1096666124132
LUPIN.NS,2022-09-01,203.0,2.85,3693.0,55.0,134.0,15.0,210.0,36.0,684.0822350286668
LUPIN.NS,2022-12-01,220.0,3.37,3790.0,84.0,158.0,18.0,246.0,36.0,723.0513228159102
LUPIN.NS,2023-03-01,264.0,5.19,3852.0,93.0,242.0,37.0,258.0,6.0,692.4448089599609
LUPIN.NS,2023-06-01,235.0,9.94,3958.0,86.0,453.0,23.0,559.0,19.0,939.3020572662354
LUPIN.NS,2023-09-01,248.0,10.76,4121.0,81.0,495.0,40.0,630.0,21.0,1153.4180196126301
LUPIN.NS,2023-12-01,257.0,13.47,4159.0,74.0,619.0,29.0,736.0,16.0,1412.4575549710182
LUPIN.NS,2024-03-01,457.0,7.89,3964.0,71.0,368.0,29.0,498.0,26.0,1605.3085482322563
LUPIN.NS,2024-06-01,248.0,17.58,4359.0,68.0,806.0,68.0,993.0,19.0,1813.974367203251
LUPIN.NS,2024-09-01,257.0,18.69,4332.0,71.0,859.0,42.0,1055.0,19.0,2154.123255575857
LUPIN.NS,2024-12-01,271.0,18.74,4412.0,67.0,859.0,54.0,1071.0,20.0,2108.024154663086
LUPIN.NS,2025-03-01,393.0,16.92,4346.0,89.0,782.0,57.0,896.0,13.0,2005.7353619074418
LUPIN.NS,2025-06-01,299.0,26.69,4541.0,92.0,1221.0,79.0,1416.0,14.0,1938.6138877868652
M&M.NS,2022-06-01,960.0,17.66,24016.0,1219.0,2361.0,675.0,2894.0,18.0,1110.5401853531125
M&M.NS,2022-09-01,1092.0,22.3,24802.0,1382.0,3021.0,1348.0,3943.0,23.0,1246.4263817571825
M&M.NS,2022-12-01,1110.0,21.53,25368.0,1596.0,2994.0,1184.0,3732.0,20.0,1270.2987448071676
M&M.NS,2023-03-01,1194.0,21.2,26798.0,1634.0,2998.0,662.0,3492.0,14.0,1191.2280537923177
M&M.NS,2023-06-01,1128.0,28.21,27642.0,1719.0,3684.0,1065.0,4468.0,18.0,1454.3524742126465
M&M.NS,2023-09-01,1139.0,18.88,28706.0,1835.0,2484.0,812.0,3568.0,30.0,1530.420304361979
M&M.NS,2023-12-01,1123.0,21.38,29075.0,1945.0,2977.0,756.0,3912.0,24.0,1673.5387651997228
