,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector
2024-12-31,908394000.0,516716000.0,910780000.0,394064000.0,329191000.0,155817778.0,0.45,70118000.0,-5245000.0,29387000.0,362291000.0,3227205000.0,2742913000.0,3589496000.0,2912865000.0,6502361000.0,6502361000.0,WESTLIFE.NS,Consumer Discretionary
2024-09-30,822086000.0,502110000.0,824814000.0,322704000.0,315657000.0,178900000.0,0.02,3578000.0,3469000.0,64668000.0,255308000.0,3116745000.0,2638377000.0,3372053000.0,2781521000.0,6153574000.0,6153574000.0,WESTLIFE.NS,Consumer Discretionary
2024-06-30,834949000.0,493846000.0,837287000.0,343441000.0,298273000.0,154980952.0,0.21,32546000.0,12622000.0,51144000.0,289959000.0,3183102000.0,2713717000.0,3473061000.0,2663427000.0,6136488000.0,6136488000.0,WESTLIFE.NS,Consumer Discretionary
2025-06-30,2652000000.0,535500000.0,2652000000.0,2116500000.0,152100000.0,126832028.0,11.49,1457300000.0,503600000.0,540700000.0,1575800000.0,6554300000.0,3807400000.0,8130100000.0,16193100000.0,24323200000.0,24323200000.0,WHIRLPOOL.NS,Consumer Discretionary
2025-03-31,2227100000.0,537200000.0,2297100000.0,1759900000.0,143400000.0,,,1192000000.0,421800000.0,396000000.0,1293900000.0,5643900000.0,2977500000.0,6937800000.0,13108900000.0,20046700000.0,20046700000.0,WHIRLPOOL.NS,Consumer Discretionary
2024-12-31,1197700000.0,513800000.0,1197700000.0,683900000.0,92000000.0,127052023.0,3.46,439600000.0,146600000.0,505100000.0,178800000.0,5702400000.0,2994800000.0,5881200000.0,11167300000.0,17048500000.0,17048500000.0,WHIRLPOOL.NS,Consumer Discretionary
2024-09-30,1363400000.0,518800000.0,1363400000.0,844600000.0,110900000.0,126878049.0,4.1,520200000.0,198400000.0,493300000.0,351300000.0,5769700000.0,3115100000.0,6121000000.0,11008900000.0,17129900000.0,17129900000.0,WHIRLPOOL.NS,Consumer Discretionary
2024-06-30,2622900000.0,561900000.0,2622900000.0,2061000000.0,101900000.0,126825397.0,11.34,1438200000.0,506600000.0,513500000.0,1547500000.0,6458700000.0,3766400000.0,8006200000.0,16962400000.0,24968600000.0,24968600000.0,WHIRLPOOL.NS,Consumer Discretionary
2025-06-30,48429000000.0,6855000000.0,51701000000.0,44846000000.0,2263000000.0,10492102015.0,3.17,33304000000.0,9218000000.0,,35542000000.0,28557000000.0,,64099000000.0,157247000000.0,221346000000.0,221346000000.0,WIPRO.NS,IT Services
2025-03-31,40607000000.0,,45674000000.0,45674000000.0,-1756000000.0,,,35696000000.0,11549000000.0,,38310000000.0,31207000000.0,,69517000000.0,155525000000.0,225042000000.0,225042000000.0,WIPRO.NS,IT Services
2024-12-31,46039000000.0,,48679000000.0,48679000000.0,4146000000.0,10482964010.0,3.2,33538000000.0,10866000000.0,,38556000000.0,30710000000.0,,69266000000.0,153922000000.0,223188000000.0,223188000000.0,WIPRO.NS,IT Services
2024-09-30,52432000000.0,8308000000.0,54655000000.0,46347000000.0,3569000000.0,10482157874.0,3.06,32088000000.0,10512000000.0,,37545000000.0,30422000000.0,,67967000000.0,155049000000.0,223016000000.0,223016000000.0,WIPRO.NS,IT Services
2024-06-30,47881000000.0,7289000000.0,49528000000.0,42239000000.0,2023000000.0,10473536226.0,2.87,30032000000.0,9850000000.0,,36275000000.0,30057000000.0,,66332000000.0,153306000000.0,219638000000.0,219638000000.0,WIPRO.NS,IT Services
2025-06-30,-50000000.0,560000000.0,-50000000.0,-610000000.0,480000000.0,162748644.0,-5.53,-900000000.0,-10000000.0,200000000.0,450000000.0,4290000000.0,2020000000.0,4740000000.0,2640000000.0,7380000000.0,7380000000.0,WOCKPHARMA.NS,Healthcare
2025-03-31,750000000.0,530000000.0,750000000.0,220000000.0,440000000.0,,,-250000000.0,230000000.0,-10000000.0,260000000.0,3600000000.0,-510000000.0,3860000000.0,2600000000.0,6460000000.0,6460000000.0,WOCKPHARMA.NS,Healthcare
2024-12-31,1360000000.0,550000000.0,1360000000.0,810000000.0,600000000.0,153846154.0,0.91,140000000.0,10000000.0,80000000.0,410000000.0,4180000000.0,1990000000.0,4590000000.0,2620000000.0,7210000000.0,7210000000.0,WOCKPHARMA.NS,Healthcare
2024-09-30,1190000000.0,550000000.0,1190000000.0,640000000.0,730000000.0,149659864.0,-1.47,-220000000.0,70000000.0,90000000.0,750000000.0,4370000000.0,2210000000.0,5120000000.0,2970000000.0,8090000000.0,8090000000.0,WOCKPHARMA.NS,Healthcare
2024-06-30,1210000000.0,540000000.0,1210000000.0,670000000.0,730000000.0,147368421.0,-0.95,-140000000.0,100000000.0,300000000.0,380000000.0,3880000000.0,1740000000.0,4260000000.0,3130000000.0,7390000000.0,7390000000.0,WOCKPHARMA.NS,Healthcare
2025-06-30,2531000000.0,591000000.0,2640000000.0,2049000000.0,77000000.0,958000000.0,1.5,1437000000.0,535000000.0,250000000.0,1689000000.0,6849000000.0,1305000000.0,8538000000.0,9710000000.0,18248000000.0,18248000000.0,ZEEL.NS,Consumer Discretionary
2025-03-31,3215000000.0,639000000.0,3340000000.0,2701000000.0,81000000.0,,,1884000000.0,734000000.0,362000000.0,2213000000.0,6809000000.0,870000000.0,9022000000.0,12819000000.0,21841000000.0,21841000000.0,ZEEL.NS,Consumer Discretionary
